date_id,full_date,year,quarter,month,month_name,day,weekday
20241126,2024-11-26 07:50:47,2024,4,11,November,26,1
20240131,2024-01-31 01:00:04,2024,1,1,January,31,2
20250226,2025-02-26 19:39:44,2025,1,2,February,26,2
20250301,2025-03-01 17:35:36,2025,1,3,March,1,5
20240330,2024-03-30 02:46:36,2024,1,3,March,30,5
20240312,2024-03-12 20:54:35,2024,1,3,March,12,1
20250715,2025-07-15 22:55:56,2025,3,7,July,15,1
20241111,2024-11-11 20:15:00,2024,4,11,November,11,0
20240825,2024-08-25 03:29:28,2024,3,8,August,25,6
20240330,2024-03-30 10:34:46,2024,1,3,March,30,5
20240313,2024-03-13 02:19:39,2024,1,3,March,13,2
20250617,2025-06-17 03:46:29,2025,2,6,June,17,1
20240809,2024-08-09 14:38:29,2024,3,8,August,9,4
20250323,2025-03-23 11:26:14,2025,1,3,March,23,6
20250818,2025-08-18 12:46:12,2025,3,8,August,18,0
20240915,2024-09-15 12:43:40,2024,3,9,September,15,6
20250827,2025-08-27 22:46:32,2025,3,8,August,27,2
20250219,2025-02-19 14:36:04,2025,1,2,February,19,2
20240714,2024-07-14 15:20:18,2024,3,7,July,14,6
20250421,2025-04-21 04:12:18,2025,2,4,April,21,0
20240506,2024-05-06 01:36:24,2024,2,5,May,6,0
20250923,2025-09-23 22:05:51,2025,3,9,September,23,1
20240331,2024-03-31 02:16:34,2024,1,3,March,31,6
20250705,2025-07-05 19:42:57,2025,3,7,July,5,5
20250302,2025-03-02 15:57:05,2025,1,3,March,2,6
20250826,2025-08-26 06:57:45,2025,3,8,August,26,1
20241212,2024-12-12 23:59:48,2024,4,12,December,12,3
20241202,2024-12-02 01:44:59,2024,4,12,December,2,0
20240517,2024-05-17 06:11:07,2024,2,5,May,17,4
20250914,2025-09-14 02:43:49,2025,3,9,September,14,6
20250609,2025-06-09 19:02:55,2025,2,6,June,9,0
20250510,2025-05-10 11:15:07,2025,2,5,May,10,5
20250315,2025-03-15 14:37:22,2025,1,3,March,15,5
20240608,2024-06-08 03:23:04,2024,2,6,June,8,5
20241117,2024-11-17 01:24:31,2024,4,11,November,17,6
20240112,2024-01-12 05:54:27,2024,1,1,January,12,4
20240924,2024-09-24 18:59:17,2024,3,9,September,24,1
20240126,2024-01-26 00:07:55,2024,1,1,January,26,4
20240202,2024-02-02 22:29:21,2024,1,2,February,2,4
20240523,2024-05-23 04:42:33,2024,2,5,May,23,3
20240304,2024-03-04 06:58:13,2024,1,3,March,4,0
20240114,2024-01-14 09:59:03,2024,1,1,January,14,6
20240927,2024-09-27 21:17:36,2024,3,9,September,27,4
20240521,2024-05-21 10:46:11,2024,2,5,May,21,1
20250902,2025-09-02 12:32:15,2025,3,9,September,2,1
20240201,2024-02-01 13:14:28,2024,1,2,February,1,3
20240112,2024-01-12 03:01:18,2024,1,1,January,12,4
20240308,2024-03-08 08:53:37,2024,1,3,March,8,4
20240913,2024-09-13 16:10:57,2024,3,9,September,13,4
20240811,2024-08-11 19:35:54,2024,3,8,August,11,6
20240725,2024-07-25 00:25:00,2024,3,7,July,25,3
20240915,2024-09-15 06:10:33,2024,3,9,September,15,6
20241104,2024-11-04 03:12:44,2024,4,11,November,4,0
20240810,2024-08-10 06:19:56,2024,3,8,August,10,5
20240316,2024-03-16 02:19:59,2024,1,3,March,16,5
20250723,2025-07-23 20:26:45,2025,3,7,July,23,2
20250412,2025-04-12 15:37:15,2025,2,4,April,12,5
20250221,2025-02-21 05:51:12,2025,1,2,February,21,4
20240921,2024-09-21 03:01:24,2024,3,9,September,21,5
20240701,2024-07-01 13:26:37,2024,3,7,July,1,0
20240225,2024-02-25 20:21:42,2024,1,2,February,25,6
20250301,2025-03-01 10:20:56,2025,1,3,March,1,5
20241223,2024-12-23 12:02:28,2024,4,12,December,23,0
20240530,2024-05-30 10:17:58,2024,2,5,May,30,3
20250304,2025-03-04 14:45:27,2025,1,3,March,4,1
20240917,2024-09-17 00:43:41,2024,3,9,September,17,1
20240126,2024-01-26 06:33:17,2024,1,1,January,26,4
20250411,2025-04-11 16:23:15,2025,2,4,April,11,4
20241201,2024-12-01 10:53:38,2024,4,12,December,1,6
20240612,2024-06-12 09:38:45,2024,2,6,June,12,2
20250725,2025-07-25 23:51:05,2025,3,7,July,25,4
20240722,2024-07-22 18:00:06,2024,3,7,July,22,0
20240202,2024-02-02 08:20:17,2024,1,2,February,2,4
20241207,2024-12-07 21:18:19,2024,4,12,December,7,5
20241214,2024-12-14 04:41:02,2024,4,12,December,14,5
20250322,2025-03-22 18:16:20,2025,1,3,March,22,5
20240301,2024-03-01 10:21:11,2024,1,3,March,1,4
20241204,2024-12-04 22:39:17,2024,4,12,December,4,2
20250109,2025-01-09 21:43:22,2025,1,1,January,9,3
20250916,2025-09-16 02:56:19,2025,3,9,September,16,1
20241111,2024-11-11 06:28:22,2024,4,11,November,11,0
20250202,2025-02-02 01:45:35,2025,1,2,February,2,6
20250921,2025-09-21 10:27:35,2025,3,9,September,21,6
20240210,2024-02-10 17:47:09,2024,1,2,February,10,5
20241125,2024-11-25 14:26:24,2024,4,11,November,25,0
20250301,2025-03-01 02:58:24,2025,1,3,March,1,5
20250818,2025-08-18 10:52:28,2025,3,8,August,18,0
20241213,2024-12-13 04:53:42,2024,4,12,December,13,4
20240203,2024-02-03 13:58:21,2024,1,2,February,3,5
20250618,2025-06-18 12:09:30,2025,2,6,June,18,2
20240127,2024-01-27 19:31:23,2024,1,1,January,27,5
20240217,2024-02-17 18:12:47,2024,1,2,February,17,5
20240613,2024-06-13 13:46:23,2024,2,6,June,13,3
20241114,2024-11-14 23:26:31,2024,4,11,November,14,3
20241227,2024-12-27 03:05:36,2024,4,12,December,27,4
20250925,2025-09-25 18:29:43,2025,3,9,September,25,3
20250523,2025-05-23 10:43:41,2025,2,5,May,23,4
20240612,2024-06-12 17:56:54,2024,2,6,June,12,2
20250116,2025-01-16 08:09:07,2025,1,1,January,16,3
20240227,2024-02-27 14:31:08,2024,1,2,February,27,1
20240730,2024-07-30 11:35:40,2024,3,7,July,30,1
20240330,2024-03-30 02:45:40,2024,1,3,March,30,5
20241119,2024-11-19 07:00:43,2024,4,11,November,19,1
20240325,2024-03-25 03:53:52,2024,1,3,March,25,0
20240323,2024-03-23 20:55:17,2024,1,3,March,23,5
20240512,2024-05-12 04:27:32,2024,2,5,May,12,6
20250208,2025-02-08 08:09:53,2025,1,2,February,8,5
20240522,2024-05-22 03:56:26,2024,2,5,May,22,2
20250704,2025-07-04 04:11:46,2025,3,7,July,4,4
20240422,2024-04-22 08:18:05,2024,2,4,April,22,0
20250604,2025-06-04 21:13:13,2025,2,6,June,4,2
20241220,2024-12-20 15:47:41,2024,4,12,December,20,4
20250228,2025-02-28 17:43:31,2025,1,2,February,28,4
20240121,2024-01-21 02:59:29,2024,1,1,January,21,6
20240917,2024-09-17 08:06:28,2024,3,9,September,17,1
20240219,2024-02-19 00:47:44,2024,1,2,February,19,0
20240701,2024-07-01 10:24:47,2024,3,7,July,1,0
20250119,2025-01-19 22:11:52,2025,1,1,January,19,6
20250816,2025-08-16 15:04:32,2025,3,8,August,16,5
20250716,2025-07-16 11:54:38,2025,3,7,July,16,2
20240418,2024-04-18 21:41:14,2024,2,4,April,18,3
20241220,2024-12-20 05:03:44,2024,4,12,December,20,4
20250830,2025-08-30 14:57:49,2025,3,8,August,30,5
20250624,2025-06-24 08:51:53,2025,2,6,June,24,1
20240206,2024-02-06 12:15:32,2024,1,2,February,6,1
20240709,2024-07-09 08:16:06,2024,3,7,July,9,1
20240612,2024-06-12 02:24:10,2024,2,6,June,12,2
20240228,2024-02-28 13:19:21,2024,1,2,February,28,2
20250420,2025-04-20 09:16:05,2025,2,4,April,20,6
20250917,2025-09-17 22:24:46,2025,3,9,September,17,2
20250521,2025-05-21 02:27:57,2025,2,5,May,21,2
20240125,2024-01-25 03:24:41,2024,1,1,January,25,3
20240726,2024-07-26 17:23:51,2024,3,7,July,26,4
20240614,2024-06-14 15:46:34,2024,2,6,June,14,4
20240106,2024-01-06 02:05:46,2024,1,1,January,6,5
20240530,2024-05-30 07:35:31,2024,2,5,May,30,3
20250120,2025-01-20 19:30:04,2025,1,1,January,20,0
20241115,2024-11-15 23:46:06,2024,4,11,November,15,4
20240103,2024-01-03 08:23:39,2024,1,1,January,3,2
20240406,2024-04-06 23:11:09,2024,2,4,April,6,5
20250217,2025-02-17 21:56:48,2025,1,2,February,17,0
20241130,2024-11-30 21:24:24,2024,4,11,November,30,5
20250625,2025-06-25 13:32:09,2025,2,6,June,25,2
20240606,2024-06-06 00:59:40,2024,2,6,June,6,3
20240209,2024-02-09 12:30:14,2024,1,2,February,9,4
20250719,2025-07-19 14:47:44,2025,3,7,July,19,5
20240505,2024-05-05 01:52:36,2024,2,5,May,5,6
20241207,2024-12-07 21:23:08,2024,4,12,December,7,5
20250621,2025-06-21 18:11:01,2025,2,6,June,21,5
20250121,2025-01-21 22:14:19,2025,1,1,January,21,1
20250530,2025-05-30 23:20:50,2025,2,5,May,30,4
20240416,2024-04-16 17:06:04,2024,2,4,April,16,1
20240108,2024-01-08 00:18:03,2024,1,1,January,8,0
20250610,2025-06-10 16:56:57,2025,2,6,June,10,1
20240701,2024-07-01 13:02:42,2024,3,7,July,1,0
20240212,2024-02-12 00:38:46,2024,1,2,February,12,0
20241029,2024-10-29 15:18:07,2024,4,10,October,29,1
20250126,2025-01-26 15:50:11,2025,1,1,January,26,6
20240424,2024-04-24 23:37:56,2024,2,4,April,24,2
20240714,2024-07-14 06:58:24,2024,3,7,July,14,6
20240613,2024-06-13 10:29:35,2024,2,6,June,13,3
20241021,2024-10-21 00:31:01,2024,4,10,October,21,0
20250731,2025-07-31 20:20:03,2025,3,7,July,31,3
20240224,2024-02-24 10:30:38,2024,1,2,February,24,5
20250222,2025-02-22 06:18:41,2025,1,2,February,22,5
20250827,2025-08-27 08:06:56,2025,3,8,August,27,2
20250727,2025-07-27 20:39:32,2025,3,7,July,27,6
20250118,2025-01-18 13:44:54,2025,1,1,January,18,5
20240226,2024-02-26 20:28:31,2024,1,2,February,26,0
20240708,2024-07-08 20:03:47,2024,3,7,July,8,0
20240329,2024-03-29 08:07:40,2024,1,3,March,29,4
20250227,2025-02-27 13:25:36,2025,1,2,February,27,3
20240507,2024-05-07 09:39:45,2024,2,5,May,7,1
20250616,2025-06-16 15:40:09,2025,2,6,June,16,0
20240907,2024-09-07 01:13:23,2024,3,9,September,7,5
20240531,2024-05-31 19:23:40,2024,2,5,May,31,4
20250225,2025-02-25 07:13:53,2025,1,2,February,25,1
20241123,2024-11-23 21:44:13,2024,4,11,November,23,5
20250503,2025-05-03 06:20:13,2025,2,5,May,3,5
20250812,2025-08-12 08:58:40,2025,3,8,August,12,1
20240521,2024-05-21 07:44:42,2024,2,5,May,21,1
20241112,2024-11-12 19:15:20,2024,4,11,November,12,1
20240908,2024-09-08 21:03:06,2024,3,9,September,8,6
20241026,2024-10-26 15:02:26,2024,4,10,October,26,5
20250511,2025-05-11 05:25:54,2025,2,5,May,11,6
20240718,2024-07-18 22:03:50,2024,3,7,July,18,3
20240730,2024-07-30 17:31:33,2024,3,7,July,30,1
20250212,2025-02-12 20:45:02,2025,1,2,February,12,2
20250823,2025-08-23 17:59:12,2025,3,8,August,23,5
20240502,2024-05-02 13:34:34,2024,2,5,May,2,3
20240605,2024-06-05 16:15:54,2024,2,6,June,5,2
20250916,2025-09-16 20:00:12,2025,3,9,September,16,1
20240308,2024-03-08 16:48:50,2024,1,3,March,8,4
20240215,2024-02-15 04:24:55,2024,1,2,February,15,3
20250913,2025-09-13 14:18:48,2025,3,9,September,13,5
