date_id,order_id,customer_id,channel_id,store_id,address_id,method,status,currency_code,amount
20241127,1000000000,356,1,,1595,CARD,PAID,,63636.0
,1000000001,601,1,,3534,GATEWAY,PENDING,,78146.4
20250228,1000000002,1234,1,,4063,CARD,PAID,,32064.6
20250302,1000000003,156,1,,1507,CARD,PAID,,30855.0
20240401,1000000004,616,2,4.0,4,CARD,PAID,,53451.75
20240313,1000000005,614,2,2.0,2,CASH,PAID,,29040.0
20250717,1000000006,188,1,,2148,CARD,REFUNDED,,18442.5
20241114,1000000007,17,1,,3577,CARD,PAID,,17535.0
20240825,1000000008,1148,1,,1490,CARD,PAID,,109011.0
20240331,1000000009,1037,1,,1974,GATEWAY,PAID,,16718.25
20240314,1000000010,1336,2,1.0,1,TRANSFER,REFUNDED,,17787.0
20250617,1000000011,1239,2,4.0,4,CASH,PAID,,41309.4
20240812,1000000012,1426,2,3.0,3,CARD,PAID,,42688.8
20250323,1000000013,862,2,1.0,1,CASH,PAID,,123283.88
20250820,1000000014,181,1,,3917,CARD,PAID,,15129.6
,1000000015,700,1,,1803,CARD,FAILED,,29659.2
20250829,1000000016,475,1,,3558,GATEWAY,PAID,,28642.8
20250220,1000000017,753,2,2.0,2,CARD,PAID,,80912.7
,1000000018,1151,1,,2691,GATEWAY,FAILED,,100107.9
20250423,1000000019,793,1,,3612,CARD,PAID,,46023.24
20240506,1000000020,866,1,,3374,CARD,PAID,,59895.0
20250925,1000000021,1110,1,,2545,CARD,PAID,,29659.2
20240402,1000000022,854,2,1.0,1,TRANSFER,REFUNDED,,29040.0
20250708,1000000023,379,2,3.0,3,CASH,PAID,,82764.0
20250303,1000000024,441,2,2.0,2,CARD,PAID,,14229.6
20250827,1000000025,125,1,,1512,CARD,PAID,,86005.88
20241215,1000000026,1201,1,,1297,CARD,PAID,,17535.0
20241202,1000000027,1055,1,,2858,CARD,PAID,,28488.0
20240518,1000000028,382,1,,2419,CARD,PAID,,14520.0
20250914,1000000029,1456,1,,2421,CARD,PAID,,79235.4
20250611,1000000030,1377,2,4.0,4,CARD,PAID,,41382.0
20250513,1000000031,1375,2,4.0,4,CASH,PAID,,28459.2
20250316,1000000032,821,1,,1920,CARD,PAID,,33870.0
20240608,1000000033,1475,2,4.0,4,CASH,PAID,,17787.0
20241119,1000000034,634,2,2.0,2,CASH,PAID,,103318.88
20240113,1000000035,585,2,1.0,1,CARD,PAID,,26136.0
20240926,1000000036,180,1,,2859,CARD,PAID,,61158.0
20240127,1000000037,482,1,,3321,CARD,PAID,,31082.16
20240202,1000000038,620,2,1.0,1,CARD,PAID,,14229.6
20240523,1000000039,603,2,1.0,1,CARD,PAID,,71583.6
,1000000040,1028,1,,2145,CARD,FAILED,,14994.0
20240115,1000000041,1005,2,3.0,3,CASH,PAID,,29657.1
20240928,1000000042,790,1,,1029,GATEWAY,PAID,,13914.6
20240522,1000000043,665,1,,3039,CARD,PAID,,48816.0
20250905,1000000044,562,1,,2131,GATEWAY,PAID,,90435.0
20240203,1000000045,998,1,,2980,GATEWAY,PAID,,44460.0
20240115,1000000046,276,1,,1489,CARD,PAID,,39930.0
20240308,1000000047,1469,2,2.0,2,CASH,PAID,,13068.0
,1000000048,408,2,2.0,2,CARD,PENDING,,28459.2
20240813,1000000049,1360,2,2.0,2,TRANSFER,PAID,,49005.0
20240725,1000000050,1423,1,,1661,GATEWAY,PAID,,35685.0
20240918,1000000051,741,1,,2863,CARD,PAID,,38252.7
20241106,1000000052,969,1,,2608,CARD,PAID,,85377.6
,1000000053,729,1,,1454,CARD,FAILED,,33570.0
20240318,1000000054,251,2,4.0,4,CASH,PAID,,14941.08
20250724,1000000055,1087,2,1.0,1,CARD,PAID,,51727.5
20250415,1000000056,659,1,,2887,CARD,PAID,,87140.25
20250223,1000000057,338,2,4.0,4,CASH,PAID,,34394.25
,1000000058,1068,1,,3071,CARD,FAILED,,53953.5
20240703,1000000059,958,1,,3535,CARD,PAID,,77682.0
,1000000060,428,2,4.0,4,CARD,FAILED,,35283.6
20250303,1000000061,1337,1,,1084,CARD,PAID,,15720.0
20241224,1000000062,1442,2,3.0,3,TRANSFER,PAID,,54450.0
20240601,1000000063,939,1,,1406,GATEWAY,PAID,,46323.24
20250307,1000000064,1409,1,,1307,GATEWAY,PAID,,19168.5
20240918,1000000065,1062,1,,2399,GATEWAY,PAID,,43888.8
,1000000066,988,1,,1134,GATEWAY,FAILED,,43888.8
20250412,1000000067,778,1,,2248,GATEWAY,REFUNDED,,18687.0
20241204,1000000068,77,1,,1620,CARD,PAID,,102166.35
20240614,1000000069,700,1,,1476,CARD,PAID,,53361.0
20250728,1000000070,425,1,,1428,CARD,PAID,,15420.0
20240724,1000000071,1271,2,3.0,3,CARD,PAID,,14229.6
20240204,1000000072,1129,1,,3536,GATEWAY,PAID,,17018.25
20241209,1000000073,1224,1,,2119,CARD,PAID,,19576.35
20241214,1000000074,446,1,,3064,CARD,PAID,,69071.4
20250324,1000000075,867,1,,3681,CARD,PAID,,36474.0
20240302,1000000076,127,1,,4185,CARD,PAID,,29659.2
20241206,1000000077,874,2,1.0,1,CASH,PAID,,28459.2
20250112,1000000078,814,1,,3363,CARD,PAID,,49186.5
20250918,1000000079,1189,1,,1836,GATEWAY,PAID,,40404.0
20241111,1000000080,584,1,,1065,CARD,PAID,,18687.0
20250202,1000000081,1433,1,,1949,CARD,PAID,,64788.0
20250921,1000000082,670,1,,4099,CARD,PAID,,42582.0
