date_id,order_id,customer_id,channel_id,store_id,address_id,carrier,tracking_number,status,shipping_fee,delivery_days
20241127,1000000000,356,1,,1595,Correo Argentino,TRK-LM6S0ZIUQ6,DELIVERED,0,3.0
20240201,1000000001,601,1,,3534,Correo Argentino,TRK-S7JYRIGG48,READY,0,4.0
20250227,1000000002,1234,1,,4063,Correo Argentino,TRK-YI8R5NTIPW,DELIVERED,0,2.0
20250302,1000000003,156,1,,1507,Correo Argentino,TRK-UWNN6LXYNU,DELIVERED,0,4.0
20240330,1000000004,616,2,4.0,4,PICKUP,,DELIVERED,0,1.0
20240312,1000000005,614,2,2.0,2,PICKUP,,DELIVERED,0,1.0
20250716,1000000006,188,1,,2148,Correo Argentino,TRK-UCA7R6D2X6,DELIVERED,0,4.0
20241112,1000000007,17,1,,3577,Correo Argentino,TRK-EEAFDZHDID,DELIVERED,0,3.0
20240826,1000000008,1148,1,,1490,Correo Argentino,TRK-99ZZCRAXY6,DELIVERED,0,2.0
20240331,1000000009,1037,1,,1974,Correo Argentino,TRK-M4QI31HO4X,SHIPPED,0,3.0
20240313,1000000010,1336,2,1.0,1,PICKUP,,DELIVERED,0,1.0
20250617,1000000011,1239,2,4.0,4,PICKUP,,DELIVERED,0,1.0
20240809,1000000012,1426,2,3.0,3,PICKUP,,DELIVERED,0,1.0
20250323,1000000013,862,2,1.0,1,PICKUP,,SHIPPED,0,1.0
20250819,1000000014,181,1,,3917,Correo Argentino,TRK-TEL745CSF0,SHIPPED,0,5.0
,1000000015,700,1,,1803,Correo Argentino,,CANCELLED,0,
20250828,1000000016,475,1,,3558,Correo Argentino,TRK-2QJED48Q5H,DELIVERED,0,5.0
20250219,1000000017,753,2,2.0,2,PICKUP,,DELIVERED,0,1.0
,1000000018,1151,1,,2691,Correo Argentino,,CANCELLED,0,
20250422,1000000019,793,1,,3612,Correo Argentino,TRK-LU2ZLGLEOH,DELIVERED,0,4.0
20240507,1000000020,866,1,,3374,Correo Argentino,TRK-UD7KW642LM,DELIVERED,0,4.0
20250924,1000000021,1110,1,,2545,Correo Argentino,TRK-4588YSVCZA,DELIVERED,0,2.0
20240331,1000000022,854,2,1.0,1,PICKUP,,DELIVERED,0,1.0
20250705,1000000023,379,2,3.0,3,PICKUP,,DELIVERED,0,1.0
20250302,1000000024,441,2,2.0,2,PICKUP,,DELIVERED,0,1.0
20250827,1000000025,125,1,,1512,Correo Argentino,TRK-YJMLEQMJ1S,DELIVERED,0,4.0
20241213,1000000026,1201,1,,1297,Correo Argentino,TRK-IWZB9131BN,DELIVERED,0,3.0
20241203,1000000027,1055,1,,2858,Correo Argentino,TRK-F7ZF8SQ633,DELIVERED,0,3.0
20240518,1000000028,382,1,,2419,Correo Argentino,TRK-NW8EX6WAQP,DELIVERED,0,4.0
20250915,1000000029,1456,1,,2421,Correo Argentino,TRK-SNH0E9H2BV,DELIVERED,0,5.0
20250609,1000000030,1377,2,4.0,4,PICKUP,,SHIPPED,0,1.0
20250510,1000000031,1375,2,4.0,4,PICKUP,,SHIPPED,0,1.0
20250316,1000000032,821,1,,1920,Correo Argentino,TRK-AF3QHYH0G0,DELIVERED,0,2.0
20240608,1000000033,1475,2,4.0,4,PICKUP,,DELIVERED,0,1.0
20241117,1000000034,634,2,2.0,2,PICKUP,,DELIVERED,0,1.0
20240112,1000000035,585,2,1.0,1,PICKUP,,DELIVERED,0,1.0
20240925,1000000036,180,1,,2859,Correo Argentino,TRK-JI1IJOL9GD,DELIVERED,0,3.0
